00005,10,21,22,01,0000,0000,00000
00002,10,21,22,02,0000,0000,00000
00004,10,21,22,02,0000,0000,00000
09393,10,21,22,23,0000,0000,00000
09393,10,22,07,44,0000,0000,00000
00005,10,22,07,44,0000,0000,00000
00004,10,22,07,55,0000,0000,00000
00002,10,22,07,58,0000,0000,00000
09191,10,22,09,52,0000,0000,00000
00002,10,22,13,39,0000,0000,00000
00005,10,22,13,40,0000,0000,00000
00004,10,22,13,42,0000,0000,00000
09393,10,22,13,44,0000,0000,00000
09191,10,22,14,17,0000,0000,00000
00002,10,22,14,53,0000,0000,00000
00005,10,22,14,54,0000,0000,00000
00022,10,22,14,55,0000,0000,00000
00013,10,22,14,55,0000,0000,00000
00019,10,22,14,56,0000,0000,00000
00032,10,22,14,56,0000,0000,00000
00028,10,22,14,56,0000,0000,00000
00020,10,22,14,56,0000,0000,00000
00021,10,22,14,56,0000,0000,00000
00029,10,22,14,56,0000,0000,00000
00016,10,22,14,56,0000,0000,00000
00007,10,22,14,56,0000,0000,00000
00034,10,22,14,56,0000,0000,00000
00010,10,22,14,56,0000,0000,00000
00031,10,22,14,56,0000,0000,00000
00027,10,22,14,56,0000,0000,00000
00030,10,22,14,56,0000,0000,00000
00004,10,22,14,56,0000,0000,00000
00024,10,22,14,56,0000,0000,00000
00023,10,22,14,56,0000,0000,00000
00008,10,22,14,56,0000,0000,00000
00014,10,22,14,56,0000,0000,00000
00026,10,22,14,56,0000,0000,00000
00017,10,22,14,56,0000,0000,00000
00015,10,22,14,56,0000,0000,00000
00025,10,22,14,56,0000,0000,00000
00011,10,22,14,56,0000,0000,00000
00033,10,22,14,56,0000,0000,00000
00012,10,22,14,56,0000,0000,00000
00018,10,22,14,56,0000,0000,00000
00018,10,22,14,57,0000,0000,00000
00009,10,22,14,57,0000,0000,00000
09696,10,22,14,57,0000,0000,00000
00032,10,22,20,55,0000,0000,00000
00017,10,22,20,55,0000,0000,00000
00030,10,22,20,55,0000,0000,00000
00033,10,22,20,55,0000,0000,00000
00013,10,22,20,55,0000,0000,00000
00031,10,22,20,55,0000,0000,00000
00028,10,22,20,55,0000,0000,00000
00014,10,22,20,55,0000,0000,00000
00027,10,22,20,55,0000,0000,00000
00019,10,22,20,55,0000,0000,00000
00034,10,22,20,55,0000,0000,00000
00026,10,22,20,55,0000,0000,00000
00007,10,22,20,55,0000,0000,00000
00009,10,22,20,55,0000,0000,00000
00008,10,22,20,55,0000,0000,00000
00010,10,22,20,55,0000,0000,00000
00024,10,22,20,56,0000,0000,00000
00020,10,22,20,56,0000,0000,00000
00021,10,22,20,56,0000,0000,00000
00012,10,22,20,56,0000,0000,00000
00023,10,22,20,56,0000,0000,00000
00016,10,22,20,56,0000,0000,00000
00029,10,22,20,57,0000,0000,00000
00022,10,22,20,58,0000,0000,00000
09696,10,22,20,58,0000,0000,00000
00015,10,22,20,59,0000,0000,00000
00018,10,22,20,59,0000,0000,00000
00025,10,22,20,59,0000,0000,00000
00011,10,22,21,06,0000,0000,00000
